# header:
#   title: bremsstrahlung for E-incident 171 MeV
# datablock:
#   columns: 2
#   entries: 342
## photon energy  phi_norm_per_MeV
##    [MeV]            []
    0.35              5.336910804767e-01
    0.85              2.191112739876e-01
    1.35              1.375535463793e-01
    1.85              1.000810769377e-01
    2.35              7.855433917335e-02
    2.85              6.458084272983e-02
    3.35              5.477853925452e-02
    3.85              4.752228862994e-02
    4.35              4.193414159722e-02
    4.85              3.749818982897e-02
    5.35              3.389138792395e-02
    5.85              3.090113335312e-02
    6.35              2.838178501392e-02
    6.85              2.623022475344e-02
    7.35              2.437139378009e-02
    7.85              2.274935656131e-02
    8.35              2.132157529688e-02
    8.85              2.005512524876e-02
    9.35              1.892412440366e-02
    9.85              1.790794597937e-02
   10.35              1.698994904536e-02
   10.85              1.615656012369e-02
   11.35              1.539659753874e-02
   11.85              1.470076681750e-02
   12.35              1.406127866477e-02
   12.85              1.347155612705e-02
   13.35              1.292600756219e-02
   13.85              1.241984878540e-02
   14.35              1.194896239724e-02
   14.85              1.150978553017e-02
   15.35              1.109921953392e-02
   15.85              1.071455675510e-02
   16.35              1.035342075174e-02
   16.85              1.001371715214e-02
   17.35              9.693593010734e-03
   17.85              9.391402994894e-03
   18.35              9.105681099809e-03
   18.85              8.835116864940e-03
   19.35              8.578535277868e-03
   19.85              8.334879715334e-03
   20.35              8.103197399116e-03
   20.85              7.882626944587e-03
   21.35              7.672387658888e-03
   21.85              7.471770308462e-03
   22.35              7.280129125840e-03
   22.85              7.096874865871e-03
   23.35              6.921468754080e-03
   23.85              6.753417196243e-03
   24.35              6.592267139755e-03
   24.85              6.437601994996e-03
   25.35              6.289038039380e-03
   25.85              6.146221238720e-03
   26.35              6.008824430495e-03
   26.85              5.876544821832e-03
   27.35              5.749101761931e-03
   27.85              5.626234754450e-03
   28.35              5.507701680214e-03
   28.85              5.393277204738e-03
   29.35              5.282751348529e-03
   29.85              5.175928201070e-03
   30.35              5.072624761930e-03
   30.85              4.972669894561e-03
   31.35              4.875903380218e-03
   31.85              4.782175060988e-03
   32.35              4.691344062290e-03
   32.85              4.603278086384e-03
   33.35              4.517852769426e-03
   33.85              4.434951095509e-03
   34.35              4.354462861881e-03
   34.85              4.276284190193e-03
   35.35              4.200317079232e-03
   35.85              4.126468995076e-03
   36.35              4.054652495079e-03
   36.85              3.984784882463e-03
   37.35              3.916787888658e-03
   37.85              3.850587380819e-03
   38.35              3.786113092220e-03
   38.85              3.723298373469e-03
   39.35              3.662079962691e-03
   39.85              3.602397773012e-03
   40.35              3.544194695840e-03
   40.85              3.487416418599e-03
   41.35              3.432011255681e-03
   41.85              3.377929991518e-03
   42.35              3.325125734774e-03
   42.85              3.273553782737e-03
   43.35              3.223171495108e-03
   43.85              3.173938176409e-03
   44.35              3.125814966362e-03
   44.85              3.078764737588e-03
   45.35              3.032752000076e-03
   45.85              2.987742811910e-03
   46.35              2.943704695765e-03
   46.85              2.900606560754e-03
   47.35              2.858418629228e-03
   47.85              2.817112368163e-03
   48.35              2.776660424803e-03
